,Use,Type,Evaluated where?,Can use custom functions?
``select``,Defines data to return,List[Expression],Local,Yes
``from``,Defines data source,str,*n/a*,*n/a*
``where``,Remote filtering of results,List[JqlString],Remote,**No**
``order_by``,Remote ordering of results,List[JqlString],Remote,**No**
``group_by``,Grouping returned rows together,List[Expression],Local,Yes
``having``,Local filtering of results,List[Expression],Local,Yes
``sort_by``,Local sorting of results,List[Expression],Local,Yes
``limit``,Remote limiting of the count of results,int,Remote,*n/a*
``expand``,Defines Jira issue field expansions,List[str],Remote,*n/a*
``cap``,Post-having/group_by limiting of results,int,Local,*n/a*
``cache``,Defines how long to cache Jira results,int,Local,*n/a*
